Nikki Cal 19
Date:,2010/06/18
Time:,14:34:16
Type:,setup
Description:,"jump"
Notes:,""

FORCE PLATES
960.000000,Hz
,Corner 1,,,Corner 2,,,Corner 3,,,Corner 4
Plate#,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,0.000000,900.000000,0.000000,600.000000,900.000000,0.000000,600.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,599.998657,-1382.600739,0.000000,-0.000977,-1382.599152,0.000000,0.001221,-482.599335,0.000000,600.000854,-482.600922,0.000000

,Force Plate 1,,,,,,,,,,,,Force Plate 2
Sample #,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z
Units:,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm
1,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.072322,-754.574234,0.000000,299.999939,-932.600037,0.000000,1.674763,0.528941,491.254944,87456.055798,4876.991006,-540.376799
2,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.975186,-754.634382,0.000000,299.999939,-932.600037,0.000000,1.703434,0.375154,490.828552,87350.624499,4429.606379,-588.388065
3,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.267210,-753.529283,0.000000,299.999939,-932.600037,0.000000,2.113030,0.609030,489.421753,87641.122323,4763.409043,-519.859061
4,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,289.699080,-754.342647,0.000000,299.999939,-932.600037,0.000000,0.867129,1.002398,491.958710,87695.275213,5067.597384,-653.977240
5,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,289.927018,-755.232054,0.000000,299.999939,-932.600037,0.000000,1.562794,0.172479,490.559967,87009.631752,4941.371832,-496.576938
6,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.020812,-754.506556,0.000000,299.999939,-932.600037,0.000000,0.996293,0.865878,491.176270,87475.291234,4901.510395,-595.055710
7,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,289.473578,-754.534667,0.000000,299.999939,-932.600037,0.000000,1.464945,0.259670,491.693878,87553.652356,5175.747121,-423.886065
8,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,291.744606,-754.719907,0.000000,299.999939,-932.600037,0.000000,1.613579,0.084465,490.057129,87171.425768,4045.584926,-534.204651
9,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.297225,-754.815640,0.000000,299.999939,-932.600037,0.000000,1.636385,0.486811,491.082397,87306.787860,4764.832263,-593.884227
10,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,289.988234,-754.391285,0.000000,299.999939,-932.600037,0.000000,0.971308,0.198130,491.098602,87518.068777,4916.734196,-565.281421
11,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.378937,-755.287294,0.000000,299.999939,-932.600037,0.000000,1.329857,0.711727,491.171204,87090.912966,4725.559107,-599.409274
12,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.063648,-754.709578,0.000000,299.999939,-932.600037,0.000000,1.675244,0.039583,490.824463,87312.988579,4876.974730,-539.964606
13,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.678836,-754.202027,0.000000,299.999939,-932.600037,0.000000,1.217711,0.489922,492.056366,87781.876364,4586.508272,-608.715553
14,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.340221,-755.743904,0.000000,299.999939,-932.600037,0.000000,2.056252,-0.308706,492.474731,87097.176651,4757.167248,-597.944465
15,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.232247,-753.758774,0.000000,299.999939,-932.600037,0.000000,1.832179,0.172097,490.912689,87795.445290,4795.084008,-597.978456
16,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.387157,-754.650512,0.000000,299.999939,-932.600037,0.000000,1.776961,0.104927,491.697968,87497.419343,4726.585193,-437.513018
17,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,291.134187,-755.205001,0.000000,299.999939,-932.600037,0.000000,1.518614,0.023118,492.754547,87412.210680,4368.639462,-481.428089
18,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,289.965591,-754.068280,0.000000,299.999939,-932.600037,0.000000,0.966993,0.037385,489.882080,87459.508172,4915.647302,-511.385607
19,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.876325,-754.555914,0.000000,299.999939,-932.600037,0.000000,1.724287,0.332305,491.699890,87544.275594,4486.080174,-588.443195
20,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,289.667023,-755.022547,0.000000,299.999939,-932.600037,0.000000,0.961502,0.754644,492.655762,87484.573590,5090.570417,-449.385148
21,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.085885,-754.354588,0.000000,299.999939,-932.600037,0.000000,1.472641,-0.452518,490.052521,87349.631264,4858.407286,-490.909131
22,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.481539,-754.460001,0.000000,299.999939,-932.600037,0.000000,1.630390,0.058934,489.871704,87265.762703,4662.794654,-515.292318
23,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.417816,-754.076264,0.000000,299.999939,-932.600037,0.000000,1.686736,0.078659,490.657227,87593.979230,4701.538008,-417.843303
24,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,289.982121,-755.120930,0.000000,299.999939,-932.600037,0.000000,1.136766,-0.125280,493.012329,87499.387815,4938.907979,-701.562594
25,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,289.889142,-754.235902,0.000000,299.999939,-932.600037,0.000000,1.471245,-0.096807,490.482666,87484.516470,4959.170865,-486.458192
26,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.732694,-754.005417,0.000000,299.999939,-932.600037,0.000000,1.216417,0.217684,490.143646,87537.018098,4542.281169,-578.999665
27,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.063012,-754.438220,0.000000,299.999939,-932.600037,0.000000,1.718709,-0.406327,490.481842,87385.136185,4873.882342,-539.428212
28,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.995810,-754.597479,0.000000,299.999939,-932.600037,0.000000,2.190142,-0.377652,492.136047,87601.474985,4431.256252,-631.098571
29,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,291.353977,-755.003939,0.000000,299.999939,-932.600037,0.000000,1.362340,0.023111,492.935455,87543.413247,4261.901107,-457.105872
30,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.478346,-753.714791,0.000000,299.999939,-932.600037,0.000000,1.147281,-0.247927,491.021667,87836.531443,4675.308546,-569.095458
31,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.988815,-755.087646,0.000000,299.999939,-932.600037,0.000000,1.612436,-0.021072,492.228516,87376.660668,4435.532179,-554.326267
32,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,291.292123,-755.155226,0.000000,299.999939,-932.600037,0.000000,1.448509,-0.001955,492.148438,87329.186404,4285.538052,-422.891007
33,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.159707,-753.282832,0.000000,299.999939,-932.600037,0.000000,0.971623,0.013949,489.190002,87720.183600,4813.743266,-579.150411
34,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,289.783902,-754.002802,0.000000,299.999939,-932.600037,0.000000,1.433151,-0.274071,489.874786,87490.282250,5004.579085,-564.211174
35,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,291.008164,-754.398709,0.000000,299.999939,-932.600037,0.000000,1.527068,-0.065447,492.146667,87701.189643,4425.271874,-607.753070
36,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.491339,-753.522643,0.000000,299.999939,-932.600037,0.000000,2.372613,0.253237,490.295654,87800.867919,4662.025441,-465.631719
37,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.295310,-753.721008,0.000000,299.999939,-932.600037,0.000000,1.652709,0.259654,490.654846,87767.862483,4761.623313,-554.368685
38,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,289.933889,-754.888423,0.000000,299.999939,-932.600037,0.000000,1.715769,0.106542,491.431335,87333.055789,4946.772339,-501.191696
39,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,289.890259,-753.315910,0.000000,299.999939,-932.600037,0.000000,1.181296,-0.187164,490.581512,87953.477919,4959.622089,-471.876957
40,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.348622,-754.465130,0.000000,299.999939,-932.600037,0.000000,1.428160,-0.270077,491.796783,87606.174102,4746.486590,-491.169915
41,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,291.089160,-754.566078,0.000000,299.999939,-932.600037,0.000000,2.245074,-0.093800,491.959534,87585.503070,4383.742526,-489.961085
42,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.603507,-753.996248,0.000000,299.999939,-932.600037,0.000000,1.691240,-0.162681,491.184937,87727.490481,4615.385984,-476.001036
43,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.358815,-755.239716,0.000000,299.999939,-932.600037,0.000000,1.449398,-0.179041,492.314911,87317.130406,4746.469296,-462.260040
44,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.978587,-754.490473,0.000000,299.999939,-932.600037,0.000000,1.204933,-0.557280,492.421814,87705.034488,4442.310486,-442.214089
45,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,291.455477,-753.389215,0.000000,299.999939,-932.600037,0.000000,1.433545,-0.386262,489.547363,87732.185213,4182.918767,-533.769586
46,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.318626,-753.625823,0.000000,299.999939,-932.600037,0.000000,1.217396,0.035142,488.399841,87410.977502,4728.351748,-598.282059
47,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,289.844727,-755.280492,0.000000,299.999939,-932.600037,0.000000,1.460056,-0.110561,491.522491,87156.544382,4991.515081,-598.887511
48,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.432663,-754.085142,0.000000,299.999939,-932.600037,0.000000,1.169579,-0.379030,491.630890,87763.436575,4703.568318,-569.144555
49,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.439827,-753.390823,0.000000,299.999939,-932.600037,0.000000,1.562114,-0.073677,491.012848,87994.026298,4694.137960,-534.579873
50,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.931937,-753.972801,0.000000,299.999939,-932.600037,0.000000,1.809395,-0.178849,492.492920,87972.648628,4465.926854,-578.052179
51,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.465341,-753.609586,0.000000,299.999939,-932.600037,0.000000,2.339849,0.281307,490.816895,87851.537295,4679.741816,-607.016171
52,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.343616,-753.985353,0.000000,299.999939,-932.600037,0.000000,1.625194,-0.160960,491.793884,87841.608837,4748.920334,-490.892406
53,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.026833,-754.443758,0.000000,299.999939,-932.600037,0.000000,1.376440,0.175769,493.533417,87926.076840,4922.061072,-423.767839
54,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.714118,-754.287667,0.000000,299.999939,-932.600037,0.000000,1.449047,-0.002643,492.407928,87802.424636,4572.411695,-476.565809
55,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.470537,-753.721115,0.000000,299.999939,-932.600037,0.000000,1.448640,-0.160814,491.799927,87972.640781,4686.559130,-490.963010
56,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,291.082619,-754.562762,0.000000,299.999939,-932.600037,0.000000,1.773861,0.084805,492.926636,87759.314720,4395.584465,-393.375732
57,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.638491,-754.195230,0.000000,299.999939,-932.600037,0.000000,1.584772,-0.313357,492.234100,87816.929243,4608.024082,-524.840205
58,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,289.857627,-753.754033,0.000000,299.999939,-932.600037,0.000000,1.140206,0.015123,490.751373,87768.921876,4977.353634,-496.603501
59,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.659398,-754.246667,0.000000,299.999939,-932.600037,0.000000,1.164764,-0.030305,489.623840,87326.061959,4573.351360,-476.638899
60,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,289.875924,-754.312594,0.000000,299.999939,-932.600037,0.000000,1.466170,0.152919,490.041168,87368.186641,4961.183895,-686.334281
61,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.310818,-754.428628,0.000000,299.999939,-932.600037,0.000000,1.811357,-0.093490,490.652405,87420.229977,4753.990646,-588.156889
62,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.561267,-753.889697,0.000000,299.999939,-932.600037,0.000000,1.920988,-0.023943,492.310760,87981.023158,4646.759662,-607.433804
63,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.360886,-753.518973,0.000000,299.999939,-932.600037,0.000000,1.276928,-0.114643,491.714844,88056.817241,4739.665221,-554.517684
64,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,291.084309,-753.984786,0.000000,299.999939,-932.600037,0.000000,2.023033,-0.118355,491.356995,87763.852699,4380.756945,-480.252901
65,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.203450,-754.056225,0.000000,299.999939,-932.600037,0.000000,1.335276,0.284367,492.315735,87899.927974,4822.965471,-452.805916
66,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.331400,-754.106618,0.000000,299.999939,-932.600037,0.000000,1.737390,-0.115312,492.051605,87827.973388,4757.420052,-515.210687
67,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.771192,-755.119362,0.000000,299.999939,-932.600037,0.000000,1.436823,0.469522,492.659241,87437.494612,4546.627307,-569.733979
68,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.644718,-753.762482,0.000000,299.999939,-932.600037,0.000000,1.780972,-0.402794,492.843811,88138.981752,4610.662922,-519.591553
69,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,291.543004,-754.582218,0.000000,299.999939,-932.600037,0.000000,1.388414,0.398594,491.800354,87549.226178,4159.123801,-500.890765
