Nikki Cal 20
Date:,2010/06/18
Time:,14:34:38
Type:,setup
Description:,"jump"
Notes:,""

FORCE PLATES
960.000000,Hz
,Corner 1,,,Corner 2,,,Corner 3,,,Corner 4
Plate#,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,0.000000,900.000000,0.000000,600.000000,900.000000,0.000000,600.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,599.998779,-1382.600708,0.000000,-0.001038,-1382.599121,0.000000,0.001129,-482.599243,0.000000,600.000977,-482.600830,0.000000

,Force Plate 1,,,,,,,,,,,,Force Plate 2
Sample #,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z
Units:,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm
1,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,292.618202,-644.571922,0.000000,299.999962,-932.599976,0.000000,2.569341,-0.142647,494.785553,142512.119583,3652.388247,-565.339475
2,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,293.304858,-644.800504,0.000000,299.999962,-932.599976,0.000000,2.782167,-0.591206,494.183014,142225.610214,3308.606696,-437.742724
3,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,293.030728,-644.561127,0.000000,299.999962,-932.599976,0.000000,2.523868,-0.989991,493.405304,142119.895875,3438.656909,-515.702841
4,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,293.379651,-644.710738,0.000000,299.999962,-932.599976,0.000000,2.589659,-0.431232,494.970764,142496.755948,3276.860414,-520.859643
5,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,293.878094,-644.628748,0.000000,299.999962,-932.599976,0.000000,2.069117,-0.478581,495.163483,142592.836105,3031.325274,-340.961097
6,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,292.782000,-643.871537,0.000000,299.999962,-932.599976,0.000000,2.361957,-0.482655,493.403870,142459.728849,3561.370507,-448.091556
7,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,293.379209,-643.437433,0.000000,299.999962,-932.599976,0.000000,2.210897,-0.281316,493.499329,142701.520411,3267.336966,-482.083783
8,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,293.239652,-642.060653,0.000000,299.999962,-932.599976,0.000000,1.951465,-0.271693,491.329773,142750.619391,3321.541560,-282.362248
9,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,292.615734,-642.474148,0.000000,299.999962,-932.599976,0.000000,2.314270,-0.200287,492.097412,142770.168990,3633.759230,-428.570335
10,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,292.742668,-642.331713,0.000000,299.999962,-932.599976,0.000000,1.719195,-0.528674,493.424500,143225.472359,3580.926690,-448.424694
11,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.228039,-644.001870,0.000000,299.999962,-932.599976,0.000000,2.388556,-0.566448,494.639771,142752.100506,2855.022589,-476.476061
12,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,293.777097,-643.367504,0.000000,299.999962,-932.599976,0.000000,2.878022,-0.467928,493.232910,142658.973703,3069.321817,-276.325533
