Nikki Cal 12
Date:,2010/06/18
Time:,14:32:10
Type:,setup
Description:,"standing"
Notes:,""

FORCE PLATES
960.000000,Hz
,Corner 1,,,Corner 2,,,Corner 3,,,Corner 4
Plate#,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,0.000000,900.000000,0.000000,600.000000,900.000000,0.000000,600.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,599.998779,-1382.600708,0.000000,-0.001038,-1382.599121,0.000000,0.001129,-482.599243,0.000000,600.000977,-482.600830,0.000000

,Force Plate 1,,,,,,,,,,,,Force Plate 2
Sample #,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z
Units:,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm
1,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,302.367399,-1087.180118,0.000000,299.999962,-932.599976,0.000000,1.984487,-0.132583,489.731689,-75702.794362,-1159.409119,-493.019432
2,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.715011,-1087.510812,0.000000,299.999962,-932.599976,0.000000,2.008976,0.316873,490.847076,-76037.531169,-841.826734,-518.474490
3,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,302.580927,-1087.245548,0.000000,299.999962,-932.599976,0.000000,2.155031,-0.018086,491.380920,-75989.883855,-1268.237206,-395.853705
4,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,302.456312,-1086.080628,0.000000,299.999962,-932.599976,0.000000,2.334367,0.669705,491.546356,-75442.855594,-1207.410158,-469.057821
5,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.999753,-1086.436259,0.000000,299.999962,-932.599976,0.000000,2.244274,-0.081958,492.507660,-75765.547805,-984.912679,-439.925606
6,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,302.176676,-1086.735756,0.000000,299.999962,-932.599976,0.000000,2.446567,0.292160,491.195068,-75710.735221,-1069.191018,-488.326268
7,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,302.038911,-1086.219030,0.000000,299.999962,-932.599976,0.000000,2.260835,0.645021,491.544159,-75510.548914,-1002.233749,-386.604223
8,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.529793,-1087.725719,0.000000,299.999962,-932.599976,0.000000,2.085656,0.395343,489.191620,-75886.213594,-748.380580,-396.407511
9,,,,300.000000,450.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.128931,-1086.802356,0.000000,299.999962,-932.599976,0.000000,2.004992,0.626276,491.188721,-75742.470106,-554.536787,-504.351193
